Title,Details,Status,Tags,Category
Trello Integration from Zapier,# Problem\/Context ## **Description** Integration with Trello using Zapier. ## Workaround No ## **Project justification** **Project type** - New product concept or workflow **Justification** ??????? # Solution **Package** A\/B Testing \/ Personalization **Scope** Zapier Zap templates **User roles** All **Design** NA # **Measuring Success** *NA* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: mandatory \(paste link\),Open,Squad Dev Tools,Roadmap
Experiment finalization flow redesign,"## **Feature short Describe what the feature does. The new finalization and configuration flow will enable all users to enjoy a user-friendlier process to parameter their campaigns, first on the graphic & MVT experiments and in the future, for developer experiments and personalizations. ## Problem What problem are we trying to solve with this feature? Or, what is the opportunity we are addressing? As a marketer or a developer, I want the experiment configuration flow to be as user-friendly and clear as possible: I need a clear vision of what I already configured. It also needs to be easily accessible. I would also benefit from having the same configuration flow structure for all modules of the platform, to be able to keep my reflexes at all time. This US is also the opportunity to relocate the graphic experiment finalization flow in the app (vs the editor interface), which is aligned to our future's vision of this tool which will all be in the app too. **Workaround:** - **Existing workaround:** Yes - **Workaround The future finalization and configuration flow does the exact same as the current one \(overall, no new feature is in the new flow\) - it will just be way more user-friendly. ## Solution **Key benefits** : What value does this feature bring to the user? Enjoy a clearer and user-friendlier interface for campaign finalization and configuration. Enhanced performance through the relocation of the configuration flow on the app side. * In the long-term, all modules (all experiments interfaces and personalization configuration too) will enjoy the same structure and users will thus be able to keep their habits and configure their campaigns more easily and efficiently. ** Product design:** - **Product package:** Web Experimentation for now - **Product scope:** Experiment finalization flow will be removed from current graphic editor interface - it will be relocated within the app, in a new page - **Target Persona**: Marketer - **Main updates:** - On the graphic editor, we are removing all configurations steps for experiments - On click on Finalize on the Graphic editor, or Edit on the AB dashboard, we will land on a brand new page on the app with the whole configuration\/finalization flow available ## **Measuring Success** - **Goal 1:** user satisfaction with the new flow - **Success metric:** rate \/5 --- ##",Complete,Squad Interfaces,Roadmap
Product reco migration,"Execute the 'Product reco migration' to ensure system stability, performance improvements, and access to new architecture.",Complete,Squad Perso,Roadmap
Google Analytics - Compliance with the GDPR,Add a dedicated page in the help doc to explain users how to set up the datalayer \+ proxy. \(how to push events in a datalayer when an experiment is triggered\) Michelin is going to build a POC with Sirdata \( \).,Open,Squad Dev Tools,Roadmap
Widgets accessibility compliance,We are exploring the addition of 'Widgets accessibility compliance' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,Squad Perso,Roadmap
Updating GA4  + help documentation,"## **Feature short Describe what the feature does. The user will be able to choose between Google Tag \(gtag.js\) or Google Tag Manager as the method to be used for the GA4 Integration. ## Problem What problem are we trying to solve with this feature? Or, what is the opportunity we are addressing? Currently, the code uses a detection mechanism that decide whether to use one method or the other. But some customers would like to be able to choose the method. **Workaround:** - **Existing workaround:** Yes - **Workaround Custom analytics ## Solution **Key benefits** : What value does this feature bring to the user? - The user can choose the method he prefers. **Use Cases:** Share use cases where this feature would help our users. - Customers that are using Google Tag Manager can send events throught the dataLayer and receive events in GA4. - Customer that are using GA4 can use the GA4 events. ** Product design:** - **Product package:** Web Experimentation - **Product scope:** Integration page \/ Engine - **Target Persona**: Marketers - **Main updates:** New form allowing to choose a method. ## **Measuring Success** NA --- ##",Complete,Squad Dev Tools,Roadmap
Auto save draft widgets,"**Problem:** Currently, for widgets, we need to click on the ""Save"" button to save the widget, whatever the status of the widget is. The problem is that users currently have a high chance to lose all their work if they forget to click on this CTA **Solution:** - if the widget is draft \(= not activated\), auto save the widget. An indication ""Saved"" should be added - if the widget is activated and used in a campaign \(whatever its status\), add an ""Update"" or ""Save changes"" button. - In case the user leaves the widget editor without saving his\/her changes, we should display a confirmation pop-in allowing the user to save the changes or not. - In case there is a connection problem, we should add an indication ""connection lost"" Widget Editor Auto save feature. Having a warning when you're not connected anymore while editing. I had a few times issues where I was ""timed-out"" and did not know about it.",Under Review,Squad Perso,Roadmap
History panel with edited elements,"**Problem:** Today, it is impossible to know what has been added \/ updated on the widget, by who and when. **Solution:** Add an ""History"" section, with the list of all events like on our current A\/B graphic editor. In the widget editor, see an history of edits by elements, attributes and devices. (text change size etc..)Like on the graphical editor",Open,,Roadmap
Better inform users how the edition on different devices works,"**Problem:** Currently, when editing an element, it is not clear when the property is applied on other devices because the behaviour is different between desktop and other devices. Please report to Emmanuel's insight for more information about that problem. **Solution:** Better inform the user, via specific pop-in or onboarding tour. In the widget Editor, explain that:if you change an element in desktop it will change the property on all devices (at first)But if you make a modification on mobile or tablet, then anything related to that property that you change on desktop will not be changed after a modification.-&gt; Maybe add a message warning and a ""do not show again"" tick box -&gt; when modifying an element in mobile or tablet you will not be able to inherit from desktop.",Complete,,Roadmap
API connections / webservices,Be able to create API connections / webservice with additional services running on Kameleoon's private serverEnter bearer tokens for AUTH in POST for the widget editor,Open,,Roadmap
Countdown widget: be able to move the legend,"**Problem:** For the while, on the countdown widget, it is impossible to move the words ""days"", ""hours"", ""minutes"", ""seconds"" with the mouse. We can only add a padding. **Solution:** Allow the users to move these texts. In the countdown banner, it would be great to be able to move the days / months / hours / minute Wording.Groupe ERAM",Open,,Roadmap
Custom Environment Mgmt,"## **Feature short Today, the customer's connected \(production, development, staging\) environments for each project are restricted to exactly 3. We want to introduce a new way to make environments completely customisable. ## Problem - As a developer - I can't edit my environments at all if I want to use additional ones for my project. - I have to create an additional project and use that for any additional internal environments if I want to connect more than 3 to my main project. - Even then - I still can't rename them even if all 3 environments \(including Production\) are just internal\/QA environments. **Workaround:** - **Existing workaround:** Yes - **Workaround Create an additional project \(as many times as needed\) to match needs for internal environments. Change has to be made at the project level. ## Solution **Key benefits** : This feature will offer a customization option for FF environments to be able to flexibly map the customer's infrastructure setup to our tool. **Use Cases:** Environments should be **global **to the project\! Creating, modifying or deleting an environment on the FF level \(in Rollout Planner\) will impact all FFs of the same project. User should be able to: - Be able to rename environments - Be able to add additional environments - Be able to remove environments - Be able to change environment key \(More long term if not feasible\) ***Any of these changes will impact all other FFs as well within the same project. *** ** Product design:** - **Product package:** Feature Experimentation - **Product scope:** Rollout Planner - **Target Persona**: Developer \/ Product Manager - **Main updates:** In bullets, concisely describe what your solution consists of: - A small CTA to edit environments, followed by a popup that allows modifying according to the above use cases ![](https://pb-files.s3.amazonaws.com/production/attachments/c53b2079c1245c37b13c7a85f46ef5b7e7b5dbf28395affa71c9d2c3dc56a5a5/image.png) ## **Measuring Success** - **Success metric:** Feature adoption based on above use cases --- ##",Complete,Squad FM&E,Roadmap
Trial Plan Readiness,Allow users to self-sign up their org for a **free** trial plan. Limit usage to 2 weeks and a maximum of 5 seats per account.,Complete,Squad FM&E,Roadmap
Feature Experiments - Standalone dashboard,"## **Feature short This standalone dashboard allows whoever is running feature experiments or analysing their results to easily view a list of all feature experiment rules in a given feature flag and click on them to access the results page for it. ## Problem As a PM, when I want to view the results of a feature experiment I've created, it's not apparent where to navigate to. **Workaround:** - **Existing workaround:** Yes - **Workaround Alternatively, individual reporting pages for a feature experiment can also be accessed using the **** menu inside the rule card once it is added to the queue as shown below. ![](https://lh5.googleusercontent.com/KZVUJoSq7r3bHBIsz7kZ_OxBY8a_JX8VaebWfYFtKoBw-jhBX6SNRkpjMKee3Q0zrx6vMFqqtdc428w8aL5LURlbdiJvB4S1SAnsFjIz8mHV3xgnAVEsAfCMBb_7mV8ddVTFkhnxPvhts967B90blZ8) ## Solution **Key benefits** : - Dedicated ""Reporting"" section to be added in the menu for future releases such as Activity Logs, Integrations \(Hybrid\), etc. ** Product design:** - **Product package:** Feature Management - **Product scope:** Rollout Planner - **Target Persona**: Product Manager, Analyst - **Main updates:** - Once you have created at least one feature experiment, navigate to the **Reporting** section on the left menu and at the bottom, click on **Results** ![](https://lh6.googleusercontent.com/LbF-e00RCOtv4uOB93_J48WxrqKa1G3xWCyhvpDaUjGTX-SQ_2suKCcYalHVdf67q5sDt-zBZ28UpzhiA5YCOHWTHB2OTIPLVzxEu2SquYB_z7Rw8riayawLbtUJUg9Bnr8AeNWBHbogvtjLL0n6zsw) - Once here, simply click on the feature experiment whose results you wish to analyze and you will be taken to the in-depth reporting page for this test. ![](https://lh6.googleusercontent.com/X9-r0AGvFjRVfAPQ7t4ueZukypq2inhgunHjX8ZCSAPbpP7AxcPUlTW-Dx2TeknbM1YhCA8JiDtbtBjpmRXzkIcyELRqYIZDYgyRVWWwGxIT-3VgzdLBLi7Fjgwk6q_CKB1_GK5Za4mNuz-iyD9rQAc) ## **Measuring Success** - **Goal 1:** Drive more users to click into this menu item - **Success metric:** How many people access FXP results via this page --- ##",Complete,Squad FM&E,Roadmap
Wizaly Integration,"# Problem\/Context ## **Description** Use Wizaly as a tracking tool I guess. ## Workaround Maybe with a custom analytics ? ## **Project justification** **Project type** - Requested capability **Justification** Requested by Speedway and Conforama # Solution **Package** A\/B Testing \/ Personalization **Scope** - Integration page - Result page - Code editor - Graphic editor **User roles** All **Design** To be defined # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: mandatory \(paste link\) Hola, We have already two clients using Wizaly : Speedway and Conforama=&gt; https://www.wizaly.com/Will it be possible to create a bridge to use the data on this tool ?Thanks a lot",Open,Squad Dev Tools,Roadmap
Filters - Exclusion management,It will be great if we could filter by excluding a tag. For example to be able to display all the experiments that do NOT have the technical tag. Add a option to filter the campaigns by excluding a tag -&gt; for example I would like to see all campaigns that are not technical.,Open,Squad Interfaces,Roadmap
Translations and wordings fixes - EN first,Resolve the issue regarding 'Translations and wordings fixes - EN first' to ensure a stable and bug-free user experience.,Open,Squad Interfaces,Roadmap
Checkbox for beta rollouts volunteers,"This feature purpose is to ease the process of suggesting to our users to be our early-adopters: for instance, a checkbox would be added in the configuration of the account \(User page\) If checked, the user's email is automatically added to an early adopters list and sent for FF for early release of features",Closed,Squad Interfaces,Roadmap
Owner column for campaigns,We are exploring the addition of 'Owner column for campaigns' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Open,Squad Interfaces,Roadmap
June Integration,"# Problem\/Context ## **Description** Being able to use June a tracking tool \(send track data to June\). [June](https://www.june.so/) is the only product analytics tool that gives you auto-generated reports focused on companies. June SDK is quite similar to Segment.io. Technical doc to help implement this feature: ## Workaround Yes, custom analytics ## **Project justification** **Project type** - Requested capability **Justification** Good for US market # Solution **Package** A\/B Testing \/ Personalization **Scope** - Integration page - Code editor - Graphic editor - Result page **User roles** All **Design** - # **Measuring Success** **-** --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:",Complete,Squad Dev Tools,Roadmap
Edge CDN Kits,"## **Feature summary:** An Edge CDN is cloud technology that specializes in static site hosting and serverless functions. It provides developers with a seamless way to deploy and scale their websites, web applications, and APIs. They focus on simplifying the deployment process and optimising the performance of web projects - ensuring fast loading times and efficient delivery to end users. --- ## Solution benefits What value does this feature bring to the user? - **Improved website performance:** Edge CDN technologies distribute content closer to end users, reducing latency and improving website loading speeds. This results in a better user experience and higher engagement levels. - **Reduced bandwidth costs:** By caching content at edge server locations, edge CDNs help offload traffic from origin servers, reducing the bandwidth consumption and associated costs. - **Enhanced scalability:** Edge CDNs offer scalable infrastructure that can handle high volumes of traffic without impacting performance. This enables websites to accommodate sudden spikes in user activity or handle increased demand during peak periods. - **Increased global reach:** With edge server locations distributed across the globe, edge CDNs can deliver content to users regardless of their geographical location. This improves website accessibility and ensures consistent performance for users worldwide. - **Improved reliability and resilience:** Edge CDNs use a distributed network of servers, reducing the risk of single points of failure. If one edge server goes down, requests can be automatically rerouted to the nearest available server, ensuring continuous content delivery. - **Flexibility and agility:** Edge CDNs provide flexibility in managing and delivering content. They support dynamic content updates, enable A\/B testing, FF usage, and facilitate quick deployment of changes, allowing product teams to respond rapidly to user demands and market trends. ## ** Product design:** - **Product package:** Web Experimentation \/ Full Stack Experimentation \/ Feature Management - **Product scope:** Developers Vercel: Cloudfront: Close to Fastly. Already integrated by severals competitors: Paired with tools like Statsig, HappyKit, Split, and other experimentation partners, Edge Config can drastically improve performance and load experience. By integrating these tools with Edge Config, their data gets pushed to the edge when it's changed. When a user visits your site, no extra network requests are needed to retrieve the config data. What's more, since the data is globally distributed, latency for the initial read is reduced. Compute before the cacheWhen compute happens instantly, routing decisions can be made before the cache. Making A/B testing and feature flagging possible without added third-party scripts or client-side JavaScript. https://vercel.com/blog/edge-config-public-beta we're improving around website performance, so A/B testing will need it too -",Complete,Squad Dev Tools,Roadmap
A specific submenu on click on Kameleoon logo,"**Problem:** Today, when we click on the Kameleoon logo displayed at the top left of the widget editor, we leave the Widget Editor and it doesn't save what has been done. **Solution:** 1. Implement Auto save feature which is a different feature \(to avoid loosing work\) 1. On click on the logo, display a sub-menu to allow the user to choose the page of the APP that he wants to load \(experiments, perso, segments, goals ...\) Description Avoir une popin de confirmation en cas de départ et click sur le logo Kameleoon en haut à gauche",Open,,Roadmap
Being able to duplicate projects,"## **Feature short This feature allows users to easily create exact copies of existing projects, streamlining workflows and ensuring consistency. By duplicating projects, users save time on setup, maintain uniform configurations across similar projects, and reduce the risk of manual errors. This feature enhances efficiency and flexibility, making project management more straightforward and reliable. Duplicating a project copies the setup and configuration but does not include goals, experiments, personalizations, custom data, segments, or feature flags. --- ##",Complete,Squad Interfaces,Roadmap
Amplitude Cohorts,# Problem\/Context ## **Description** Exporting cohorts from Amplitude to Kameleoon. ## Workaround No ## **Project justification** **Project type** - Requested capability **Justification** Request from Amplitude Product team \(they also use Productboard\) ![](https://pb-files.s3.amazonaws.com/production/attachments/fe7b7e79fd873b6d7b5525bcb93f36b3c86095c2413019763e40dadbbc1b6884/image.png) \+ Request from Square. \+ Request from Pvolve \+ Request from Daily Kos # Solution **Package** A\/B Testing \/ Personalization \/ Full stack **Scope** NA **User roles** All **Design** NA # **Measuring Success** *NA* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: - Amplitude Cohort Integration on K8s,Complete,Squad Dev Tools,Roadmap
Audiences global KPIs available to all customers,"## **Feature short This feature will allow every user to see the top part of the Audiences page, so the KPIs, even if they don't upgrade to Audiences. ## Problem Users are currently missing out on those interesting KPIs that could be a motivation to keep using Kameleoon and to upgrade to Audiences. **Workaround:** - **Existing workaround:** No ## Solution **Key benefits** : What value does this feature bring to the user? * Making these KPIs available to everyone, with minimal setup : it will show them great insights on their global usage of Kameleoon, including how much money they earned thanks to Kameleoon. * It will advertise the Audiences page, as users have a reason to go there, and might be tempted to upgrade. **Use Cases:** Share use cases where this feature would help our users. If our customers at Lidl (suppposing they don't yet have Audiences) are wondering if they should keep using Kameleoon or if it didn't bring any value to their website, they might want to know how much money they have earned thanks to us. On this page, thanks to those KPIs they've never seen before, they will se that Kameleoon has earned them millions of euros. They will also see the potential earnings they could have earned if they made a better use out of Kameleoon. Lidl would never want to cancel their subscription to Kameleoon now. ** Product design:** - **Product package:** Audiences - **Product scope:** Audiences page - **Target Persona**: Marketers - **Figma link to the specs :** [https:\/\/www.figma.com\/file\/BNia1s3x0eCZv0fgyZVviG\/%2319311-Audiences-global-KPIs-access-to-all-customers?type=design&node-id=902-25446&mode=design&t=UivxDacNL2rarg1i-0](https://www.figma.com/file/BNia1s3x0eCZv0fgyZVviG/%2319311-Audiences-global-KPIs-access-to-all-customers?type=design&node-id=902-25446&mode=design&t=UivxDacNL2rarg1i-0) ## **Measuring Success** - **Goal 1:** User retention and churn reduction - **Goal 2:** Increasing the number of experiments user create - **Goal 2:** Increasing the numbers of subscription to Audiences - **Success metric:** - number of non-Audiences subscribers that set up a website in Audiences to see the KPIs - number of users that subscribe to Audiences --- ##",Complete,Squad Data,Roadmap
Chrome Extension - New Authentication Flow,"# Problem\/Context ## **Description** The current authentication flow is not very good. We would like to same something better, using id \+ password in a pop-up \(similar to what Optimizely does\). ## Workaround Yes, current flow. ## **Project justification** **Project type** - Improvement to existing workflow **Justification** The current authentication flow is not very good. We would like to same something better, using id \+ password in a pop-up \(similar to what Optimizely does\). # Solution **Package** A\/B Testing \/ Personalization \/ Full stack **Scope** All **User roles** All **Design** NA # **Measuring Success** Mixpanel tracking plan --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:",Complete,Squad Dev Tools,Roadmap
Segment Reverse ETL Integration,# Problem\/Context ## **Description** To be defined ## Workaround No ## **Project justification** **Project type** - New product concept or workflow **Justification** Just because :\) # Solution **Package** A\/B Testing \/ Personalization \/ Full stack **Scope** To be defined **User roles** All **Design** To be defined # **Measuring Success** - --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: mandatory \(paste link\),Open,Squad Dev Tools,Roadmap
Assign a widget to a variation from Code Editor,# Problem\/Context ## **Description** Being able to assign a widget to an experiment's variation. ## Workaround No ? ## **Project justification** **Project type** *Pick one :* - Requested capability - New product concept or workflow - Improvement to existing workflow - Operational improvement - Risk mitigation \(*refer to*[ *PDB Template - slide 9*](https://docs.google.com/presentation/d/1vr1Nmw2Hh6upHZq504j3R9KNo2jbRW2PoSYnXKcSA-Q/edit#slide=id.g10a92e05449_0_0)*\)* **Justification** concrete indicators \/ reasons why we need to work on this project *\(refer to*[ *PDB Template - slide 9*](https://docs.google.com/presentation/d/1vr1Nmw2Hh6upHZq504j3R9KNo2jbRW2PoSYnXKcSA-Q/edit#slide=id.g10a92e05449_0_0)*\)* # Solution **Package** A\/B Testing \/ Personalization **Scope** Code editor **User roles** All **Design** To be defined # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: mandatory \(paste link\) Being able to assign an already generated widget to a test variation without the need to open the WYSIWYG-Editor.Especially when one wants to test PR-widgets it highly annoying.,Open,Squad Dev Tools,Roadmap
Real-time Synchronization of Visits,# Problem\/Context ## **Description** Real-time sync of visits is an option at extra cost that can be activated from the Administration Back-office. It allows user to see their visits faster. ## Workaround No. ## **Project justification** **Project type** - New product concept or workflow **Justification** - # Solution **Package** A\/B Testing \/ Personalization **Scope** - **User roles** All **Design** - # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:,Complete,Squad Dev Tools,Roadmap
Chrome Extension - Cookie Authentication Flow,"# Problem\/Context ## **Description** Reusing the kameleoon cookie to log in to the Chrome Extension ## Workaround Yes, normal flow ## **Project justification** **Project type** - New product concept or workflow **Justification** Cool feature that is a smart way to save our user time to log in. # Solution **Package** A\/B Testing \/ Personalization **Scope** Chrome extension **User roles** All **Design** - # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:",Complete,"Squad Dev Tools, Tribe developers",Roadmap
User rights global rework,"Old inspiration: [Embedded content](https://www.figma.com/embed?embed_host=share&url=https%3A%2F%2Fwww.figma.com%2Ffile%2FIhokijqpF67uKB9kySOo1mxz%2FUS-13240---Users-%2526-Rights---Long-term-vision%3Fnode-id%3D1881-0%26t%3D0PSAWK6fYpfDYc1G-0) interesting if you have multiple accounts for agency Adding one Mail Adress/person to different customer accounts The customer would like to have different and more precise rights for their users. Example: View only Need approval from someone before launching Not being able to edit other user's experiments Being able to edit certain page of the website but not all Feature Request : La Dépêche Groupe""Les utilisateurs qui n'ont pas les droits pour publier des campagnes n'ont pas non plus les droits pour les arrêter"" Ils aimeraient que l'on puisse choisir les actions plus en détails dans les droits des utilisateurs. Aujourd'hui problématique pour eux car certains sont obligés de passer par des intermédiaires qui eux ont les droits pour pouvoir arrêter les campagnes.",Planned,,Roadmap
New onboarding user flow for Marketers,We are exploring the addition of 'New onboarding user flow for Marketers' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Complete,,Roadmap
Kameleoon new UI,"Align the product design \(colors, overall feel\) with the new Marketing guidelines, to make the solution more enterprise-ready Solutions accessibility improvements: Goal: reach level A Configurable columns on FF, Goals, Segments, Custom data dashboards: ## Problem\/Context - As I user I would to have access to a customizable view of my dashboard in the Back-office client so I can have access only to sections that interesting me - **Existing workaround:** Yes - **Workaround The client can consult sections is interesting in manually **Project justification:** - **Project type:** to fill in *\(refer to PDB Template - slide 9\)* - **Justification:** Requested capability on existing customers ## Solution - **Product package:** Full stack - **Product scope:** The operation is the same on all pages \(A\/B tests, Perso, Segments, Goals, Websites\). - **User roles**: all - **Design:** For one dashboard - Fist on the right sidebar next to filter a tab will be present: columns . With this new functionality Columns, users can customize their dashboards : they can choose which columns they want to display. ![](https://pb-files.s3.amazonaws.com/production/attachments/ddf16368ce7bdfb49a77eea904f39134f481a0e3dbe5da1684f8c8d3d930f164/Capture_d_ecran_2022-07-25_a_17.26.56.png) To custom the view by default, there will be a wheel icon to acces to parameter ![](https://pb-files.s3.amazonaws.com/production/attachments/c4d6c59312081b4cf40bc3674063b233efdbf62b88625e227f0a8679f9699b62/Capture_d_ecran_2022-07-25_a_17.28.09.png) - There will be elements displayed by default: - Name - Type - Status - Modified - Tag - and elements not displayed by default - Author - Created - Website\/project - Main goal - Online - Results exploitability With a checkbox system, user can select element he want to be displayed or not ![](https://pb-files.s3.amazonaws.com/production/attachments/2ba3a0ae90ba55c7e6f11845dd3657f65f1ee7e951e4488a5b129ec55f5231bb/Capture_d_ecran_2022-07-25_a_17.31.43.png) ## **Measuring Success** - **Goal 1:** Retenion: adress critical user pain points - **Success metric:** Allow user to easily customize their dashboard view. - **Success metric:** Save user time with adapted view they can use to have access to only relevant informations - **Goal 2:** Satisfaction - **Success metric:** Save user time with adapted view they can use to have access to only relevant informations --- ##",Complete,,Roadmap
Free trial adaptation on account creation,We are exploring the addition of 'Free trial adaptation on account creation' to our roadmap. This initiative aims to address specific user needs and expand the platform's core capabilities.,Planned,,Roadmap
Project dashboard redesign,"## **Feature short Describe what the feature does. Project dashboard redesign and migration allows all users to easily find the projects they're looking for on the dashboard, and find all necessary information about them in an eyeblink. ## Problem What problem are we trying to solve with this feature? Or, what is the opportunity we are addressing? As a marketer, I want to find a project and information about it as quickly and conveniently as possible, by keeping the same reflexes I already have on other dashboards. **Workaround:** - **Existing workaround:** Yes - **Workaround The projects dashboard already exists - but its design is the old one \(it's unlike the other, newer app pages\) and is thus not optimized. Besides, the technical architecture is old as well - we need to reduce the tech debt. ## Solution **Key benefits** : What value does this feature bring to the user? The user will keep the habits he acquired on other dashboards - it will make it easier for him to move around the projects dashboard. Additional features will also be added (see the status of a project in an eyeblink, ability to add tags, enriched filters located in a filters sidebar) **Use Cases:** Share use cases where this feature would help our users. When the user wants to check or modify something on a project, they want to find it as quickly and easily as possible, so they can access the dedicated project page. ** Product design:** - **Product package:** Web Experimentation \/ Full Stack Experimentation \/ Feature Management \/ AI-driven Personalization - **Product scope:** Projects dashboard - **Target Persona**: Marketer \/ Developer \/ Product Manager - **Main updates:** In bullets, concisely describe what your solution consists of: - Projects dashboard will evolve following the current design we have on migrated app pages - thus, users will keep the habits they acquired on other pages: - each project will have 1 dedicated card - columns will help the user directly see the status of his page - ability to add tags to find projects more conveniently - addition of a filters sidebar - enriched filters ## **Measuring Success** - **Goal 1:** indicate the goal of this topic - **Success metric:** indicate the key indicator of success that will measure the achievement of goal 1 Copy and paste previous paragraph for each goal attached to this topic. Report to PDB Template - Slide 13 for examples --- ##",Open,,Roadmap
Kameleoon Application file (kameleoon.js) splitting,"# Problem\/Context ## **Description** Instead of loading everything inside kameloon.js, we will have two different part : kameleoon.js and the configuration part loading later. ## Workaround No ## **Project justification** **Project type** - Requested capability **Justification** requested by Fnac # Solution **Package** A\/B Testing \/ Personalization **Scope** Admin Back-office **User roles** - **Design** - # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:",Complete,Squad Dev Tools,Roadmap
Email only (Deleting the username field and keep only email),"# Problem\/Context ## **Description** Clean up to delete username field and keep only email ## Workaround No ## **Project justification** **Project type** - Operational improvement **Justification** less code, more reliable, more stable # Solution **Package** all **Scope** login page **User roles** all **Design** - --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**:",Complete,Squad Dev Tools,Roadmap
Multi-Armed Bandit Experiments,"## Feature Summary The goal of this feature is to introduce a **Multi-Armed Bandit** for traffic allocation in Feature Experiment's variation split. The MAB will optimize the distribution of user traffic among different feature variations, allowing for efficient and automated decision-making during A\/B testing and experimentation. --- ## Problem - As a user, I face: - **Inefficient Traffic Allocation:** Challenges in determining the optimal allocation of user traffic among multiple feature variations during A\/B testing. Manual allocation methods may result in suboptimal decisions and wasted opportunities. - **Missed Opportunities:** Manual allocation, especially over several ongoing experiments may fail to leverage real-time feedback from ongoing experiments, leading to missed opportunities to quickly identify and promote high-performing variations. - **Resource Drain:** Manual management of traffic allocation requires significant time and effort from me and my team, diverting their focus away from core tasks and slowing down the experimentation process. - **Workaround:** None, manual intervention is a must. ## Solution Benefits 1. **Optimized Traffic Allocation:** Intelligently adjusts the distribution of user traffic among different feature variations based on real-time feedback. It dynamically balances exploration \(trying out new variations\) and exploitation \(promoting successful variations\), leading to better overall performance and quicker identification of winning variations. 1. **Quick Insights and Iteration:** Users can gain actionable insights more rapidly, allowing users to iterate and improve their products faster. 1. **Resource Efficiency:** Eliminates the need for manual management, saving users time and effort. Users can focus on strategic decision-making and experiment analysis rather than manual allocation. ![](https://pb-files.s3.amazonaws.com/production/attachments/64ecaa5e8e1753c337fe0c639ccb05ccba2251d9d76e75d1b7b2877cb1fafd6a/image.png) ![](https://pb-files.s3.amazonaws.com/production/attachments/bd0f1c481e68fd13803977e89a4126be9d7b16f69caa3b5a7fe5b642f793efb6/image.png) ** Product design:** - **Product package:** Feature Management and Experiment - **Product scope:** Rollout Planner - **Target Persona**: PM - **Main updates:** A simple toggle in the experiment variation split selection. ## **Measuring Success** - **Goal 1:** Improved conversion metrics - **Success metric:** Feature adoption, user feedback --- ##",Complete,,Roadmap
Open Source Analytics Library,# Problem\/Context ## **Description** Being able to pick a custom analytics to edit instead of copy pasting code from github. This will allow us to do more integrations that are not native and avoid a lot of problems. It's a good way to present non-native integration to our customers. From this : To this : Using this api : ## Workaround No. ## **Project justification** **Project type** - New product concept or workflow **Justification** - # Solution **Package** A\/B Testing \/ Personalization **Scope** Integration page **User roles** All **Design** ![](https://lh7-rt.googleusercontent.com/slidesz/AGV_vUcx9aKy8UExr4HFrtLMAITI4ZH85J2-Sxz7RExZmrgFSJfSpUmGtCTDbW5mpVxEA_IxGqTLAviF-iFCIDf2IE6fl_RkMKhh8Ku_58P2d4HuStRRCf-hK3lkaqT2a8OUYsAA_4a6KfejeylBaMTDR1pV3SC99ho=s2048?key=1hKlnRJdg43EWGeEy2vyTQ) # **Measuring Success** *-* --- # Attached documents **Figma file**: optional \(paste link\) **Spec file**: optional \(paste link\) **Redmine ticket**: - Custom Analytics Library,Complete,Squad Dev Tools,Roadmap
