Title,Details,Status,Tags,Category,StateTag
IP Address exlcusion Support for IPv6,"The IP address exclusion condition in projects doesn't work for IPv6
It'll be great to have that compatibility",Open,"_⭐ Admin & Engine Squad, Ex owner: Yassin Hassan, Q1 2025, Core Techno, Processed",Set up,Processed
Icon in the results dashboard (bayesian) is confusing,"Client: Coop NorgeClient email: joachim.furuseth@coop.no
Feedback:
The icon is confusing, as it's a tick, it seems that it's already activated
Thanks,
--
Marie LemaireSenior Customer Success ManagerTel. +33 6 76 78 26 58www.kameleoon.comLynton House L7-12 Tavistock SquareWC1H 9LT London",Open,"_⭐ Reporting Squad, Ex owner: Calixthe Mattei, Q4 2024, App System, Processed",Build,Processed
Idea create alert average cart decreasing high,"The idea is to create the alert if the average cart is decreasing, with high reliability 95%",Open,"new idea, important, Ex owner: Calixthe Mattei, Q2 2025, Processed",General,Processed
Identify new opportunities with AI,"That could be really nice  to promote the AI module and encourage clients to use AI.

---

cool feature

---

would be a strong differentiator

---

could be a huge USP for prospects

---

Would be game changing and a very big differentiator with our competitors I guess

---

Very useful to increase usage!",Open,"Aggregated Topic, Ex owner: Tribe Marketers, Results page, Q4 2022, Data & Governance, Unprocessed",Analyze,Unprocessed
Image editor,Important since the widget editor is becoming more powerful and used than the wysiwyg itself :),Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q2 2023, Visual Builders, Unprocessed",Build,Unprocessed
Image editor (including crop),Great tool!,Open,"Aggregated Topic, Ex owner: Fabien DIMEGLIO, Q3 2023, Unprocessed",General,Unprocessed
Image library bulk selection,We can't select in bulk images by using a shortcut. Right now we need to select each image one by one this is pretty tedious,Open,"Ex owner: Lily from Kameleoon, Q4 2024, Processed",General,Processed
Image library display all images including other projects,Within the graphic editor all images are display -> the filter on the project is not applied like in the widget (in my example images from acuitis project display on courses U graphic test),Open,"_⭐ Campaign Creation Squad, Ex owner: Ivan Kulagin, Q4 2024, Visual Builders, Processed",Build,Processed
Images library with a dedicated dashboard,"Very usefull for code interface user!

---

Very important as it makes testing easier

---

It is hard for people to store images",Open,"Aggregated Topic, Ex owner: Lily from Kameleoon, Ex owner: Tribe Marketers, Ex owner: nan, Q2 2024, App System, Processed",Build,Processed
Immowelt Horizon Edit goal via CSS Selector,"[immowelt] Horizon: Edit goal via CSS Selector
Client: immowelt
Login: werner.steckmann@immowelt.de
Case:
Immowelt noticed that in the desktop view it is not possible to see the CSS selectors in the ""Edit goal"" view. Only when you play around with the width of the screen can the whole thing scroll and be displayed. See screenshots.
https://kameleoon.freshdesk.com/a/tickets/3402
I put this in Feautre Request because UI improvement
Best
Christoph",Open,"new idea, important, Ex owner: Tribe Marketers, Q3 2021, Start & Admin, Processed",Set up,Processed
Implement code generation to display graphic editor changes in the code editor,"This feature would simplify the work within a team as well as between the consultant and the customer by making it easier to understand which changes have been implemented with which selector. This helps immensely with troubleshooting and helps to better understand the changes made by the Graphic Editor.

---

I would be awesome to have! So we can start using the visual editor, or else we wont be able to use it :)

---

To be able to show our developers the generated code and to get their ok before we can start testing through the graphic editor",Open,"Aggregated Topic, Ex owner: Mallaury Gruget, _⭐ Campaign Creation Squad, Q1 2024, Tech & Perso Builders, Processed",Build,Processed
Import Custom Fonts via @import,"A very nice feature that would make sure that fonts are no issue, and that the widget loads the content + fonts from the same server (from Kameleoon's server).",Open,"Aggregated Topic, Ex owner: Lily from Kameleoon, _⭐ Studio Squad, Q4 2024, Visual Builders, Processed",Build,Processed
Important rethink design part Display following devices,"Hello, it would be important to rethink the design of the part ""Display for the following devices"" in a personalization (using a widget for exemple). The difference is not significant enough beetwin selected or not selected device.
The idea could be to put the image of the device or the background under the image in red when the devices is not selected and in green when it's selected.
Got an image to illustrate it, if needs.
Thank you :)",Open,"🙂 Perso Squad, new idea, important, Ex owner: nan, Q2 2022, Visual Builders, Unprocessed",Build,Unprocessed
Improve estimate duration calculator choose what output,"Improve the ""estimate duration calculator"" to choose what is the output I want to get.
I could choose as output the Duration, Minimal detectable effect (MDE), Traffic. conversion rate, confidence
Depending on the chosen output, the input fields are automatically adapted. Examples of use cases :
- Example 1 : Based on a specific traffic and conversion rate, I want to know what is the MDE I can get in a month period > Output = MDE
- Example 2 : I want to know what is the minimal traffic required if I want to get results with a specific MDE in a max delay of 3 weeks (to know for example, on which page of my website I can launch or not tests) > Output = Traffic
- Example 3 : based on my traffic, within a month period, I want to know what is the minimal conversion rate required to get a specific MDE (to know which KPIs should use or not) > Output = Conversion rate
etc...
To go even further, one could imagine a calculator like this with specific toggles that I can easily play with. Would be amazing in demos...
https://www.meilleurtaux.com/credit-immobilier/simulation-de-pret-immobilier/calcul-des-mensualites.html",Open,"_⭐ Reporting Squad, new idea, nice to have, Ex owner: Calixthe Mattei, Q1 2024, Core Techno, Processed",Set up,Processed
Improve the code block in Feature flags,"We have a small feature request we'd like to share with the team. We are noticing that the code block for entering in variation content on feature flags is fairly small, with no way to enlarge. That is causing us to write code in an actual code editor and copy/pasting over so we can see everything in the same view to alleviate potential for errors. It's a small request but could help our flow, and potentially other customers as well.",Open,"Ex owner: nan, Q3 2025, Tech & Perso Builders, Unprocessed",Build,Unprocessed
Improved search bars,Would avoid errors and simplify search on partial match,Open,"Aggregated Topic, Ex owner: Loreena, Q2 2025, Processed",General,Processed
Improvement visitor capping,"Pain Points: The capping option ""Stop personalization when the total number of exposed visitors exceeds a threshold equal to ???? visitors"" works very unexpected. If the customer enters a predefined number of visitors here, then he expects exactly this number of visitors on the result page. However this is currently technically almost impossible, as there are the following inaccuracies:    the capping check runs X hours or minutes. So there is a period of time in which the visitor limit has already been exceeded, but the next check has not yet been performed.   After the start, there is a minimum period of 30 minutes until the first visit is completed. The stop takes place on the basis of this data, i.e. this causes a further time delay.   The script is of course always subject caching.     Solution: Perhaps the check can be run more frequently and the data analysis can be based on the new real time data.",Open,"_⭐ App System Squad, 🇩🇪 GER, _⭐ Reporting Squad, Ex owner: Calixthe Mattei, Q3 2024, Tech & Perso Builders, Processed",Build,Processed
In-Page Templates,"Sometimes when you put element inside the page the height is 0px so we don't see it.
Maybe having ready template would cover that problem",Open,"Aggregated Topic, Ex owner: Lily from Kameleoon, Q2 2025, Processed",General,Processed
Include again tracking feature new graphical editor,"Hello product team!
Could we please include again the tracking feature within the new graphical editor, please?
Clients are getting annoyed...and could even churn for that reason :/
(many clients are asking for it: rossel, libération foussier, etc.)
Thanks!",Open,"_⭐ Campaign Creation Squad, new idea, critical, Ex owner: Ivan Kulagin, Q4 2024, Processed",General,Processed
Include hours AM/PM scheduling option otherwise very,"Include hours AM/PM in scheduling option, otherwise it's very confusing.",Open,"_⭐ App System Squad, _⭐ Campaign Creation Squad, new idea, important, Ex owner: Ivan Kulagin, Q4 2024, Processed",General,Processed
Indicator for Time left until reliable results,".

---

request from Loblaw

---

request from Loblaw, but this would be a great feature!

---

It is important to reach statistical significance for reliability of data. Some teams have tight timeliness with experiments and we would like to know based on traffic and KPIs if we can turn off sooner.

---

Great help in the CRO process

---

Important for ROW customers

---

It would be usefull to help maintain the roadmap

---

would be nice

---

I need this to answer to stackeholders quickly on the remaining time the test will be displayed on the website

---

nice to have

---

Helps us to communicate with key stakeholders on a potential stop date for the test

---

other tools have this

---

Often asked in rfps and proposed by our competitors

---

thats great",Open,"Aggregated Topic, Ex owner: Calixthe Mattei, _⭐ Reporting Squad, Q2 2024, App System, Processed",Build,Processed
Info main entries Expe / FF,"It would be nice if Experiments and Feature Flags had a tool tip that explained the difference and purpose of each. Eg, a question mark next to the Experiments title.",Open,"🙂 FF/SDK Squad, Ex owner: Tribe Developer, Q3 2023, Core Techno, Unprocessed",Set up,Unprocessed
Insert new image graphic editor possible add,"When we insert a new image in the graphic editor, it is not possible to add a redirect url (except from coding in JS/HTML).
It would be nice to have the same as when we insert a text in which we can add a   redirect url directly.",Open,"_⭐ Campaign Creation Squad, new idea, nice to have, Ex owner: Ivan Kulagin, Q1 2025, Processed",General,Processed
Inserting new paragraph element graphic editor don,"When inserting a new paragraph element in the graphic editor, don't attach predefined styling to it.",Open,"🙂 Interface squad, new idea, important, Ex owner: Tribe Marketers, Q2 2022, Processed",General,Processed
Integrate Kameleoon Visitor Code GA4 experience_impression event,"Integrate the Kameleoon Visitor Code with the GA4 experience_impression event
This will be helpful for an easier/efficient capture of the Visitor Code for GA4. It doesn't make sense for it to have its own GA4 event because it would be essentially be firing at the same time as page views and that's a waste of event hits when you can integrate it with the existing pageview event.
But when the Kameleoon Visitor Code has it's own dataLayer push, it opens the door for race conditions. The visitor code may not fire in time to be attached to a page view. For a GA4 user property, it only needs to be sent once and is persistent so there's no need for it to be triggered every time.",Open,"_⭐ Integrations Squad, new idea, important, Ex owner: Isabelle Ung, Q3 2025, Integrations, Processed",Set up,Processed
Integrate retrievedatafromremotesource directly into Custom-Data Feature,"Integrate retrievedatafromremotesource directly into the Custom-Data Feature.
Currently one will have to call https://developers.kameleoon.com/activation-api.html#retrievedatafromremotesource somehwere in the global Skript to get additional Data from the Data API, providing an ID. It would be neat to have it directly integrated into the Custom Data, which will contain the required ID. This way one would be able to store additional data without any coding required.",Open,"new idea, important, Ex owner: Tribe Marketers, Q3 2021, Core Techno, Processed",Set up,Processed
Integrated chat function,"Pain Point:
If a customer has a question, they have to write an e-mail to their consultant.   Solution
Another communication option would be an integrated chat function in Kameleoon BO. The chat function could contain an input field where client can write the Project ID and a text field where client can write the problem.",Open,"🇩🇪 GER, Ex owner: nan, Q3 2024, Processed",General,Processed
Integration MAKE make,"Integration with MAKE (make.com).
API containing experiment and product recommendation results.",Open,"_⭐ Integrations Squad, new idea, important, Ex owner: Yassin Hassan, Q1 2024, Core Techno, Processed",Set up,Processed
Integration Medallia DXA order able segment experiment,"Integration with Medallia DXA in order to be able to segment experiment results within their solution. Medallia is similar to Hotjar with heatmap functionality, user recordings etc.",Open,"new idea, important, Ex owner: Yassin Hassan, Q1 2024, Integrations, Processed",Set up,Processed
Integration Microsoft Dynamics 365 import segments Kameleoon,Integration with Microsoft Dynamics 365 to import segments in Kameleoon.,Open,"_⭐ Integrations Squad, new idea, important, Ex owner: Yassin Hassan, Q1 2024, Integrations, Processed",Set up,Processed
Integration avec Zapier Cela faciliterait les int,Integration avec Zapier : Cela faciliterait les intégrations avec d'autres solutions et notamment les CRM comme Microsoft Dynamics,Open,"Ex owner: Tribe Developer, Q1 2021, Integrations, Processed",Set up,Processed
Integration w/ Segment CMP,"During our kick-off call, the customer asked if we would be compliant with Segment CMP.   They are using OneTrust for now, but they told us that Segment is working on its own Consent Management Tool (probably linked to OneTrust).",Open,"_⭐ Integrations Squad, Ex owner: Yassin Hassan, Q1 2024, Integrations, Processed",Set up,Processed
Integration wait for Kameleoon consent before sending events,"It would be great to add an option to wait for the kameleoon consent before sending any info to other tools.
This difference in terms of consent could lead to some data descrepencies",Open,"Ex owner: Vincent Taldir, Q1 2024, Integrations, Processed",Set up,Processed
Integration with Splio:,"Integration with Splio:
-to send data exposure events
-to send form data (email subscription, NPS)
-to get segments/audience from splio",Open,"_⭐ Integrations Squad, new idea, important, Ex owner: Isabelle Ung, Q2 2025, Integrations, Processed",Set up,Processed
Integrations by default,"Pain Point  Currently, all integrations in an experiment must be added manually. There are some integrations that are used in all experiments.   Solution
It would be easier if you could set certain integrations that you use frequently so that they appear immediately in every experiment so that you don't have to add them manually",Open,"🇩🇪 GER, _⭐ Integrations Squad, Ex owner: Yassin Hassan, Q3 2024, Integrations, Processed",Set up,Processed
Interesting able associate analysis tool campaigns default,"It would be interesting to be able to associate the analysis tool with campaigns by default. Specify whether you want to add Content Square to all campaigns, for example, rather than having to add it to each campaign. Sometimes my customers forget and that's a drama",Open,"_⭐ Integrations Squad, new idea, nice to have, Ex owner: Yassin Hassan, Q4 2024, Start & Admin, Processed",Set up,Processed
Interesting able create objectives/campaigns/segments severals environments,"It would be interesting to be able to create objectives/campaigns/segments on severals environments directly, and automatically duplicate the information on the different environments.
Example: I need to create around ten objectives for a FR campaign, which we'll duplicate on DE. It would save time to be able to create an objective that would be duplicated on the 2 environments, with 2 different identifiers, which I could rename if necessary, etc.",Open,"new idea, nice to have, Ex owner: nan, Q1 2024, App System, Unprocessed",Build,Unprocessed
Interesting add STOP button PBX which allow,"It would be interesting to add a STOP button in PBX, which would allow you to completely stop the search based on your prompt.
And if it gives you a choice between two photos, for example,
add the option to say none, and restart/modify your image search.
Overall, I find that once you're committed to your use case, you don't have much of a way out.",Open,"new idea, important, Ex owner: nan, Q3 2025, PBX, Processed",Disrupt,Processed
Interesting request Renault who wants one variant,"Hello :)
I have an interesting request from Renault who wants to do AI for one variant and simple manual targeting on another.
Therefore, we are obliged to carry out two campaigns (and possibly a split test if we want to see the impact of AI to compare manual targeting on returning VS AI)
Running multiple variations with different targeting to avoid this experimentation architecture would have been ideal... !
Thanks and please let me know if you have any questions about this request :)",Open,"_⭐ Campaign Creation Squad, new idea, nice to have, Ex owner: Fabien DIMEGLIO, Q1 2024, AI Analytics, Unprocessed",Analyze,Unprocessed
Internal Draft 2024 Roadmap,"Be able to use sessionStorage items, localStorage items as targeting condition in the segment builder like we use the Cookie condition

---

Be able to use the custom data count list in targeting condition
Example 1:
-> visitors who have the counted list custom data ""Univers_visited"" with value ""epargne"" with a count superior / equals to / inferior to a count of X -> trigger the XP ""banner epargne""
Example2:
Be able to use count list custom data value in event in the widget editor:
Get the highest scoring value of a custom data count list and show the corresponding screen:
example:
""univers_visited"" {
epargne: 5
assurance:3
""credit"": 7
Highest value of custom data univers_visited is ""credit"" -> show the ""credit"" screen""

---

Be able to target at the visitor level with a different visit scope.
-The person has converted a goal in its last visit, in last 3 visits, in all its visits.
-The person has converted this goal X times in this visit
-The person has converted this goal X times in the last visit, last 3 visits...
-The person has converted the goal in the past (we don't know when, it could be an offline goal)
It would also open the possibility to do cross device tracking on ""cold goals""",Open,"_⭐ App System Squad, Segment-builder, new idea, unknown, Ex owner: Mallaury Gruget, Q4 2023, Visual Builders, Unprocessed",General,Unprocessed
